date,warehouse_id,region,orders,shipment_weight,workers,scanner_used,processing_time
2023-01-01,WH_1,West,132,369.0766674365053,11,1,29.195715021923313
2023-01-01,WH_2,West,84,223.23477350167857,7,1,20.87006885616797
2023-01-01,WH_3,South,125,218.81742505847697,10,1,23.446375440022646
2023-01-02,WH_1,West,145,275.6724715499072,12,1,16.97758998854509
2023-01-02,WH_2,North,104,159.09292223410526,8,0,25.057621253477954
2023-01-02,WH_3,North,147,277.1620960755218,12,1,19.09437132873441
2023-01-03,WH_1,North,127,318.40351666772625,10,1,26.591612000035376
2023-01-03,WH_2,North,108,322.4052266494897,9,1,24.49506009304815
2023-01-03,WH_3,West,92,267.49291784711653,7,1,28.65897805838899
2023-01-04,WH_1,East,148,330.62418921822456,12,0,38.09663414307214
2023-01-04,WH_2,West,132,253.17600270080786,11,0,36.74894254984363
2023-01-04,WH_3,North,110,317.1391713816302,9,1,26.962017740024347
2023-01-05,WH_1,North,93,233.63870835235065,7,1,29.958276703023948
2023-01-05,WH_2,North,121,307.2805405026826,10,0,25.577369706972984
2023-01-05,WH_3,North,86,131.0140129313248,7,1,25.624722636144664
2023-01-06,WH_1,North,144,381.7127821192984,12,1,25.975421813593403
2023-01-06,WH_2,North,97,269.82691833277516,8,1,28.747366192813843
2023-01-06,WH_3,North,84,150.40695519183495,7,0,36.54615535205021
2023-01-07,WH_1,North,121,244.14008380128246,10,1,28.029172930054653
2023-01-07,WH_2,North,90,234.32081831160954,7,1,15.51991849054792
2023-01-07,WH_3,North,144,387.3175918646655,12,0,25.78349944766613
2023-01-08,WH_1,East,103,219.3941202980093,8,1,28.37423964222557
2023-01-08,WH_2,South,93,180.0731613652816,7,0,26.615555621662363
2023-01-08,WH_3,West,123,367.24217996836643,10,1,28.85783476060441
2023-01-09,WH_1,West,105,211.46650278392835,8,0,31.626705278590627
2023-01-09,WH_2,South,134,265.54860028823265,11,1,19.568235975832785
2023-01-09,WH_3,South,107,308.5623579675657,8,1,27.674247410507547
2023-01-10,WH_1,North,133,206.3249909525807,11,0,35.73596515929469
2023-01-10,WH_2,South,108,216.06591276668934,9,1,20.1176600898495
2023-01-10,WH_3,North,146,437.935087595926,12,0,27.95870849957061
2023-01-11,WH_1,West,97,179.19967587304274,8,1,29.11411225264136
2023-01-11,WH_2,East,97,202.11342247429602,8,0,25.811387992678274
2023-01-11,WH_3,East,95,240.46453888401584,7,1,30.289046690331123
2023-01-12,WH_1,South,96,229.08115470617497,8,1,18.447107279828998
2023-01-12,WH_2,East,141,412.19434470562163,11,0,28.868930316450026
2023-01-12,WH_3,East,127,270.34662775902905,10,1,34.25817738865248
2023-01-13,WH_1,North,116,297.7001554129061,9,1,24.089027094226182
2023-01-13,WH_2,South,82,237.6304608440951,6,1,32.6525509434066
2023-01-13,WH_3,South,125,245.75520746836617,10,0,29.178503488632586
